"","Rank","Team","Conf","W-L","BPI","SOS","SOR","RPI"
"","273","LafayetteLAF","Patriot","10-21","273","319","313","--"
"","274","UT Rio Grande ValleyTRGV","WAC","15-18","274","213","241","--"
"","275","SE Missouri StSEMO","OVC","14-17","275","304","258","--"
"","276","Montana StMTST","Big Sky","13-19","276","315","286","--"
"","277","SamfordSAM","Southern","10-22","277","132","293","--"
"","278","Air ForceAFA","MW","12-19","278","157","236","--"
"","279","Umass LowellUML","Am. East","12-18","279","311","279","--"
"","280","PortlandPORT","WCC","10-22","280","125","289","--"
"","281","IUPUIIUPU","Horizon","11-19","281","218","276","--"
"","282","Oral RobertsORU","Summit","11-21","282","121","255","--"
"","283","UC RiversideUCRV","Big West","9-22","283","268","315","--"
"","284","QuinnipiacQUIN","MAAC","12-21","284","297","290","--"
"","285","ChattanoogaCHAT","Southern","10-23","285","203","307","--"
"","286","PepperdinePEPP","WCC","6-26","286","108","323","--"
"","287","Morehead StMORE","OVC","8-21","287","140","299","--"
"","288","FordhamFOR","A 10","9-22","288","122","270","--"
"","289","South FloridaUSF","American","10-22","289","126","284","--"
"","290","Eastern KentuckyEKY","OVC","11-20","290","212","287","--"
"","291","Santa ClaraSCU","WCC","11-20","291","155","278","--"
"","292","Western CarolinaWCU","Southern","13-19","292","107","212","--"
"","293","Loyola (MD)L-MD","Patriot","9-22","293","272","315","--"
"","294","Cleveland StCLEV","Horizon","12-23","294","223","303","--"
"","295","Bethune-CookmanCOOK","MEAC","18-14","295","351","281","--"
"","296","Arkansas-Little RockUALR","Sun Belt","7-25","296","195","328","--"
"","297","SienaSIE","MAAC","8-24","297","209","314","--"
"","298","Tenn-MartinUTM","OVC","10-21","298","284","311","--"
"","299","Southern UtahSUU","Big Sky","13-19","299","194","256","--"
"","300","McNeese StMCNS","Southland","11-17","300","293","283","--"
"","301","The CitadelCIT","Southern","11-21","301","141","282","--"
"","302","St. Francis BknSFNY","NEC","13-18","302","345","296","--"
"","303","Sacred HeartSHU","NEC","10-21","303","332","323","--"
"","304","North FloridaUNF","A-Sun","14-19","304","120","231","--"
"","305","North Carolina A&TNCAT","MEAC","20-15","305","346","259","--"
"","306","Sacramento StSAC","Big Sky","7-25","306","222","331","--"
"","307","Kennesaw StKENN","A-Sun","10-20","307","215","305","--"
"","308","UMKCUMKC","WAC","10-22","308","147","294","--"
"","309","Central Connecticut StCCSU","NEC","14-18","309","336","280","--"
"","310","Detroit MercyDET","Horizon","8-24","310","197","331","--"
"","311","San José StSJSU","MW","4-26","311","114","331","--"
"","312","Grambling StGRAM","SWAC","17-14","312","337","226","--"
"","313","East CarolinaECU","American","10-20","313","129","268","--"
"","314","Savannah StSAV","MEAC","15-17","314","118","230","--"
"","315","Norfolk StNORF","MEAC","14-19","315","339","323","--"
"","316","CharlotteCHAR","C-USA","6-23","316","153","311","--"
"","317","Texas A&M-CCAMCC","Southland","11-18","317","325","300","--"
"","318","RiceRICE","C-USA","7-24","318","172","322","--"
"","319","Youngstown StYSU","Horizon","8-24","319","202","331","--"
"","320","SIU-EdwardsvilleSIUE","OVC","9-21","320","204","298","--"
"","321","StetsonSTET","A-Sun","12-20","321","342","318","--"
"","322","SouthernSOU","SWAC","15-18","322","302","304","--"
"","323","JacksonvilleJAC","A-Sun","15-18","323","318","292","--"
"","324","Morgan StMORG","MEAC","13-18","324","348","321","--"
"","325","MaristMRST","MAAC","6-25","325","279","331","--"
"","326","Cal PolyCP","Big West","9-22","326","286","310","--"
"","327","AmericanAMER","Patriot","6-24","327","243","323","--"
"","328","Houston BaptistHBU","Southland","6-25","328","187","331","--"
"","329","PresbyterianPRE","Big South","11-21","329","260","306","--"
"","330","MaineMAINE","Am. East","6-26","330","189","331","--"
"","331","Arkansas-Pine BluffARPB","SWAC","14-21","331","326","320","--"
"","332","VMIVMI","Southern","9-21","332","183","302","--"
"","333","CSU NorthridgeCSN","Big West","6-24","333","329","331","--"
"","334","Incarnate WordIW","Southland","7-21","334","288","317","--"
"","335","HowardHOW","MEAC","10-23","335","334","318","--"
"","336","Jackson StJKST","SWAC","12-20","336","335","331","--"
"","337","Alcorn StALCN","SWAC","11-21","337","313","331","--"
"","338","South Carolina UpstateUPST","A-Sun","7-25","338","233","331","--"
"","339","Alabama StALST","SWAC","8-23","339","270","331","--"
"","340","BryantBRY","NEC","3-28","340","267","331","--"
"","341","Florida A&MFAMU","MEAC","9-25","341","235","331","--"
"","342","LongwoodLONG","Big South","7-26","342","274","331","--"
"","343","Northern ArizonaNAU","Big Sky","5-27","343","200","331","--"
"","344","South Carolina StSCST","MEAC","10-22","344","278","331","--"
"","345","Coppin StCOPP","MEAC","5-27","345","220","331","--"
"","346","Northwestern StNWST","Southland","4-25","346","276","331","--"
"","347","Miss Valley StMVSU","SWAC","4-28","347","250","328","--"
"","348","Chicago StCHS","WAC","3-29","348","97","331","--"
"","349","Delaware StDSU","MEAC","4-28","349","341","331","--"
"","350","Alabama A&MAAMU","SWAC","3-28","350","296","328","--"
"","351","Maryland-Eastern ShoreUMES","MEAC","7-25","351","221","323","--"
